CORE,,,,,,,,,,,,,
64,,,,,,,,,,,,,
,,,,,,,,,,,,,
INSTRUCTION,,,,,,,,,,,,,
指令,功能单元,节拍,输入1,输入2,输入3,输出,寄存器和功能单元读所需拍数,寄存器和功能单元写所需拍数,备注,,,,
VFMULBD,VMAC1/VMAC2/VMAC3,6,VR,VR,VR,VR,1,1,,,,,
VFMULBS32,VMAC1/VMAC2/VMAC3,6,VR,VR,VR,VR,1,1,,,,,
VFDOT32,VMAC1/VMAC2/VMAC3,6,VR,VR,,VR,1,1,,,,,
VFCREAL32,VMAC1/VMAC2/VMAC3,6,VR,VR,,VR,1,1,,,,,
VFCIMAG32,VMAC1/VMAC2/VMAC3,6,VR,VR,,VR,1,1,,,,,
VFADDH16,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,
VFSUBH16,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,
VFMULH16,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,
VFMULAH16,VMAC1/VMAC2/VMAC3,6,VR,VR,VR,VR,1,1,,,,,
VFMULBH16,VMAC1/VMAC2/VMAC3,6,VR,VR,VR,VR,1,1,,,,,
VFCMPEH16,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,
VFCMPGH16,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,
VFCMPLH16,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,
VFHINT16,VMAC1,3,VR,,,VR,1,1,,,,,
VFHTRU16,VMAC1,3,VR,,,VR,1,1,,,,,
VFINTH16,VMAC1,3,VR,,,VR,1,1,,,,,
VFINTHU16,VMAC1,3,VR,,,VR,1,1,,,,,
VFSPHP16,VMAC1,3,VR,VR,,VR,1,1,,,,,
VFHPSP16L,VMAC1,1,VR,,,VR,1,1,,,,,
VFHPSP16H,VMAC1,1,VR,,,VR,1,1,,,,,
VFMANH16,VMAC1,1,VR,,,VR,1,1,,,,,
VFLOGH16,VMAC1,1,VR,,,VR,1,1,,,,,
VFABSH16,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,
VFMAX16,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,
VFEXTS32L,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,
