CORE,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INSTRUCTION,,,,,,,,,,,,,,,,,,
指令,功能单元,节拍,输入1,输入2,输入3,输出,寄存器和功能单元读所需拍数,寄存器和功能单元写所需拍数,备注,,,,,,,,,
SLT16,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SLTU16,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SMOV,SMAC1/SMAC2/SIEU,1,R,,,R,1,1,,,,,,,,,,
SMVCGC,SIEU,-1,R,,,CR,1,5,,,,,,,,,,
SMVCGC,SIEU,1,R,,,/SST/SCR/SFCR/SECR/CGCR/CVCCR/,1,1,,,,,,,,,,
SMVCGC,SIEU,2,R,,,/IER/IRRL/IRRH/ISTPL/ISTPH/EER/ERRL/ERRH/ESTPL/ESTPH/SAMR/SMR/,1,2,,,,,,,,,,
SMVCGC,SIEU,3,R,,,/SVR/VCR/ICR/ECR/BRReg/,1,3,,,,,,,,,,
SMVCGC,SIEU,5,R,,,/VLR/,1,5,,,,,,,,,,
SMVCCG,SIEU,-1,CR,,,R,1,3,,,,,,,,,,
SMVCCG,SIEU,1,/CGCR/CVCCR/SST/SCR/SFCR/SECR/,,,R,1,1,,,,,,,,,,
SMVCCG,SIEU,2,/SVR/IER/IFR/IRRL/IRRH/ISTPL/ISTPH/EER/EFR/ERRL/ERRH/ESTPL/ESTPH/SAMR/BRReg/,,,R,1,2,,,,,,,,,,
SMVCCG,SIEU,3,/VCR/VLR/SMR/,,,R,1,3,,,,,,,,,,
SMOVIL,SIEU,1,IMM,,,R,1,1,,,,,,,,,,
SMOVIH,SIEU,1,IMM,,,R,1,1,,,,,,,,,,
SMOVILH,SIEU,1,IMM,,,R,1,1,,,,,,,,,,
SAND,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SOR,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SXOR,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SNOT,SIEU,1,R,,,R,1,1,,,,,,,,,,
SLZD,SIEU,1,R,,,R,1,1,,,,,,,,,,
SLZD16,SIEU,1,R,,,R,1,1,,,,,,,,,,
SADD1,SIEU,1,1,R,,R,1,1,,,,,,,,,,
SADDU1,SIEU,1,1,R,,R,1,1,,,,,,,,,,
SSUB1,SIEU,1,1,R,,R,1,1,,,,,,,,,,
SSUBU1,SIEU,1,1,R,,R,1,1,,,,,,,,,,
MOVI0L,SIEU,1,0,,,R,1,1,,,,,,,,,,
MOVI1L,SIEU,1,1,,,R,1,1,,,,,,,,,,
MOVI0H,SIEU,1,0,,,R,1,1,,,,,,,,,,
MOVI1H,SIEU,1,1,,,R,1,1,,,,,,,,,,
SSHFLL16,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SSHFLL,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SSHFLR16,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SSHFLR,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SSHFAR16,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SSHFAR,SIEU,1,R/IMM,R,,R,1,1,,,,,,,,,,
SBCLR16,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBCLR,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBSET16,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBSET,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBEX16,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBEX,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBTST16,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBTST,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBEXT16,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBEXT,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBEXT16U,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBEXTU,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBCOB32,SIEU,1,R,R,R,R,1,1,,,,,,,,,,
SCROSS,SIEU,1,R,,,R,1,1,,,,,,,,,,
SDCRS,SIEU,1,R,,,R,1,1,,,,,,,,,,
SBALE2,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBALE2H,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBALE2LH,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBALE2HL,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBALE4H,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SBALE4L,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SSBALE2,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SSBALE4,SIEU,1,R,R,,R,1,1,,,,,,,,,,
SUBALE4H,SIEU,1,R,,,R,1,1,,,,,,,,,,
SUBALE4L,SIEU,1,R,,,R,1,1,,,,,,,,,,
SITL2,SIEU,1,R,,,R,1,1,,,,,,,,,,
SITL4,SIEU,1,R,,,R,1,1,,,,,,,,,,
SImmToSMR,SIEU,2,IMM,,,CR,1,2,,,,,,,,,,
VLDH,VLDST1/VLDST2,9,AR+OR/IMM,,,VR,1,1,,,,,,,,,,
VLDHU,VLDST1/VLDST2,9,AR+OR/IMM,,,VR,1,1,,,,,,,,,,
VLDW,VLDST1/VLDST2,9,AR+OR/IMM,,,VR,1,1,,,,,,,,,,
VLDDW,VLDST1/VLDST2,9,AR+OR/IMM,,,VR:2,1,1,,,,,,,,,,
VLDDWM2,VLDST1/VLDST2,9,AR+OR/IMM,,,VR:2,1,1,,,,,,,,,,
VLDDWDM2,VLDST1/VLDST2,9,AR+OR/IMM,,,VR:2,1,1,输入3与输出寄存器必须一致,,,,,,,,,
VLDDWDM4,VLDST1/VLDST2,9,AR+OR/IMM,,,VR:2,1,1,输入3与输出寄存器必须一致,,,,,,,,,
VSTH,VLDST1/VLDST2,1,VR,,,AR+OR/IMM,1,1,输入3与输出寄存器必须一致,,,,,,,,,
VSTW,VLDST1/VLDST2,1,VR,,,AR+OR/IMM,1,1,输入3与输出寄存器必须一致,,,,,,,,,
VSTDW,VLDST1/VLDST2,1,VR:2,,,AR+OR/IMM,1,1,,,,,,,,,,
VSTDWM16,VLDST1/VLDST2,1,VR:2,,,AR+OR/IMM,1,1,,,,,,,,,,
VSTDWDM16,VLDST1/VLDST2,1,VR:2,,,AR+OR/IMM,1,1,,,,,,,,,,
